Date,Name,Year
2018-01-01,New Year's Day,2018
2018-03-30,Good Friday,2018
2018-04-02,Easter Monday,2018
2018-05-07,Early May bank holiday,2018
2018-05-28,Spring bank holiday,2018
2018-08-27,Summer bank holiday,2018
2018-12-25,Christmas Day,2018
2018-12-16,Boxing Day,2018
